"","TWEETS"
"358","govt warehouse rent hghr dan pvt gdwn plz luk into d matr cause its harming logistics locl gons to tke unecsary parkng chargs"
"359","good night sir..swt drm..tke cre..we luv u..keep smiling..wid u always.. :)"
"360","it wud be really appreciable if d national women commision do summon d real rapists tke action against them instead of"
"361","goons says paise do nehi to biwi ko lejaenge raman-ha isko leke ja then sees judge n says can't lv widt her to tke both ek"
"362","dear team members, toder ki r kono kaj nei... sudhu ""copy/paste"" r ch**** marka status post kora chara... ??..."
"363","toder okhane to thanda i thanda"
"364","debo debo... sob sude asole debo..germany ajj theke toder poton suru"
"365","tora dekhiye dili aye season a tora ki parish... aro boro ho... ""fakira"" toder..."
"366","moumita aritra soumi specially toder joney :3"
"367","jani toder 2 jon keo ami te thkte diyi na... ta to kal morei ja66ilo bt ta amr"
"368","next tym r o boro hbe amra achi toder pase____"
"369","ora ki toder lover? magnumopus mohenjodaro"
"370","shame on you ppl nt able to refund tdr lying wth u from 19.3.16"
"371","eastern railway work is worst no response towards tdr filed on 19.3.16 nearly 4 mths."
"372","aginst my pnr no 4626481151 tdr was filed vide transaction i'd no 100000346486670 dt 6nov2015.no refund till"
"373","still no action on my tdr refund(pnr-2541700218).request u all to help"
"374","after 6 months of tdr filing still under process.not happy with the services. pls look the matter."
"375","6 months of tdr filing,it is still under process.this is still unbelievable how rail system works? act on my refund"
"376","sir,my tdr is pending since 2/1/16 -pnr 2541700218,tdr zone is is not responding.plz help"
"377","ha first din tdr sthei toh! magnumopus mohenjodaro."
"378","not received my tdr refund even after 45 days"
"379","where did you filed the tdr"
"380","aginst my pnr no 4626481151 tdr was filed vide transaction i'd no 100000346486670 dt 6nov2015.when can expec"
"381","vai ebar to tora chup kor... ki bolbo r.."
"382","ki rokom friends tora ?? amar te eitukuo dite paris na ??"
"383","aj ker dinta germanir chilo na..... bad luck.... but dear haters tora tention koris na ei euro cup ta boss cr7..."
"384","waiting for what? band baja... ekhono bajasni tora. ki"
"385","soumi aritra emotional kre dili tora :'( :/ :v"
"386","hmm. tobe tora sabai bolay, dudh r swad ghole metanor chesta korchi, kuch rang pyar ke dekhe."
"387","ha , tora bal pagla e ! :/"
"388","3 tarik robibar babar barsik kaj. chole asish dupure. tora 3 jon. ato kaj tai tr bri jte parchi na. kal 1k ber jbo parle"
"389","mastani returned"
"390","meye bole tora ja khusi paris.. r 6ele bole amra ki6u bolei dos naki ?? faltu na boke nijer chorkai tel de"
"391","arre mind blowing! old villain re entry"
"392","khub bhalo ...bhalo na theke jabi kothay tora kemon achish?"
"393","""amar kono talent nei""....bhai eta best 6ilo kintu....sotti...tora bisal talented... :-) ;-) :-) feeling confused"
"394","hi guys ....kemon achish tora????"
"395","u.s. seeks trade sanctions in india poultry dispute: wto: geneva (reuters) - the united states is seeking tra..."
"396","mjhe v unblock ki thi.avi dekhi firse blocked..lucky puja.ye tra sccha fhyaar hai"
"397","le ho posto un quesito molto preciso. nessuna risposta. tra lei e renzi nessuna differenza almeno lui non si"
"398","oil edges up on u.s. inventories, but slowing asia weighs: singapore (reuters) - oil prices rose in early tra..."
"399","africa visit aimed at enhancing ties: pm modi: modi will begin his five-day tour with mozambique and then tra..."
"400","how high intensity training can reshape your body in only minutes a day high intensitytra"
"401","details for this job united capital club, one of the fast growing company in tra..."
"402","sensex off day's high; itc, hul under pressure: sensex and nifty are set for a positive tracking gains on the nifty futures tra..."
"403","teraa kya tera bap ka kya tera maa ka kya tra brother sister ko kya tera uncle aunty ko kya family ko kya khandan"
"404","haye me tera haye me tra jabra fan ho gya"
"405","sensex up over 200 points, nifty above 8,350; fmcg stocks lead: sentiment is likely to be positive as global markets continued to tra..."
"406","millions believed to be victims of sex trafficking in india: millions of women and children are believed to be the victims of sex tra..."
"407","bhai ami jeetda r fan holeo karur anti noi...jei cinema bhalo business korbe take shonman je korbe shei actual movie lover."
"408","mohanayak somman pelo dev... ami eta vebe obak hochi didi paposh paul mane ei tapas pal k bhule gelen kivabe??? :v"
"409","keu jodi nokia 6600 set use kore thako..and jodi seta sell korar eche thake...tahole amake massage koro...ami..."
"410","didi ami apnar sathe dakha chai"
"411","good night frnds....abr ami kobe fbe asbo jani na....sobai vlo theko.,..i miss you all by...take care :( feeling sad"
"412","and di plz tumi amake tumi kore bolo na....ami tomar theke onek choto...amake tui korei bolo...."
"413","ami apnaar die hard fan...would like to have a reply from you as a treasure of my life... :)"
"414","ami amar dp set parchi na.amake aktu ble debe plz ki vbe e hochhe na"
"415","i missss youuuu my cute pagli....plzzzzz tumi aso..ami tomy khubbbb khubbbb missss kor6i... :'( :'( :'( feeling missing"
"416","jodi prem kori tumi ami"
"417","jiboner tinti govir upolovdi jar songe ami ek mot hoyechi tai post korlm. wow very good knowledge :..."
"418","rustom aane do bhai fir dekhna"
"419","amar durgapur....tomar durgapur idea &amp; creation - sukhamay mukherjee ..."
"420","- via dailyhunt"
"421","maa.baba j 1jon 6ele meyer ka6e kotota spl ta bole bojhano jai na.amr prithibi er 1 dike maa baba r onno dike sob.i love u .."
"422",":v :v :v lol :p amr mohan ukti ha ha ha!! :v"
"423","amader future"
"424","didi ay west bengal thekey amader bekarattho kobey jabey. plz didi abr amader dekey dekun."
"425","banglar nobo rupokar tumi.pronam nio."
"426","tumi ki bear grylls er moto enjoy krcho nki?? nice adventures with so many crews in amazon. hope you are fine now."
"427","jai bajrangbali tor dushman ki nalli"
"428","khub e sundor movie taaa..... watching ki kore toke bolbo at my sweet home"
"429","hi bipasa ami tomar khub boro fane r amar tomar sob flim dekhey chi tomar sob flim khub valo hoyeche."
"430","jokhon i kauke valo lage tokhon i ami immature er moto behave kori jetate amar i kharap hoy. ebar theke bujhte..."
"431","tane onek kache... ami aro ek2 2mi royecho je amr kemon jani..."
"432","vikram da ami aj obodhi tomar ektao reply paini , kichu bolo plse"
"433","good morning mimi di......ami apnar zabardast fan"
"434","ata ami"
"435","gd mg dada ,ami tomake eto tweet kori kintu kono retweet reply paina! am i not able to be your fan?stay happy"
"436","amar khub priyo ."
"437","amar opor khepe achis ? malda theke misti aam anis misti bhai"
"438","ei amake bol solanki er namta address korchis keno? personally bolle hotona ? etato personal kotha! delete it"
"439","edesher football pagolra brazil germany te kyano janmalo na etai bhabchhi, amader cricket joy e ora erakom kore ki? country of samples!"
"440","vikram da kemon acho? tumi to amader ar reply daona! amader kheyal i nei! we waiting for anurag, stay happy"
"441","madam jodi ldc der salary ta kichu kora jai as g.o 1832 te amra"
"442","misti mam ajke vikram da ke dekhe amra khub khusi ,anurag phire ese megh er pase thakuk,lots of love sweet mam"
"443","suvhayan +919832018956 c/o : manju das, behind nandita house, near amra sabai club, lake road, 734007 siliguri sent using truecaller"
"444","dada amra tomar ar solanki mam er khub fan, tomake chara bhalo lagche na!tumi phire eso plse"
"445","hiiiii dev da tumi kemn acho.very miss you...."
"446","vikram da tumi, tomar family sobai khub khusi thako, ichhenodi te megh er kache eso love you"
"447","vikram da tumi kobe ichhenodi serial phire asbe ? tomake,solanki mam ke eksathe dekhte chai sobai"
"448","dada tomake chara meghla er kanna nite parchina keu!tumi megh er pase darao, kobe a"
"449","dada tomake chara meghla er kanna nite parchina keu!tumi megh er pase darao, kobe asbe tumi? bolo"
"450","dada tumi ki film shoot korcho? bolo"
"451","misti mam, tumi ar tweet koro na! how are you mam?, vikram da ke bolo come back to serial,plse, lots of love,happy"
"452","yes ofcourse! tumi chara ichhenodi hobe na,we love anurag meghla ,we want vikram solanki,you are our love, cm plse"
"453","gd mg vikram da, tomar nam anurag nei ! ki nam ? dada ekta request from our meghla e"
"454","gd mg vikram da, tomar nam anurag nei ! ki nam ? dada ekta request from our meghla er kache phire eso"
"455","gd mg dada,wish you a good new week,tomar film shoot kemon cholche? ajke ki tomake dekhbo sobai? lots of love"
"456","gd mg sweet mam,wish you a good new week,mam yesterday tomar performance khub bhalo hoyche awesome,lots of love"
"457","misti mam ajke episode bhalo hoyche, megh ke dekhe kosto hoyche but tomar performance awesome,lots of love mam"
"458","tomar new dp ta darun..."
"459","tomake darun sundor lagche..."
"460","tomader motamot janao comment box... adda jomuk..."
"461","don badsha kamn laglo bhai...tor feteche naki baki der fatbe?? :p"
"462","sometime it seems that you by mistakly born hindu n indian.. you can rectify to muslim n tke shelter in iraq or syria or pak"
"463","mam plz tke care of him.. his lyf made me cry... mam once plz read this plz mam"
"464","bah tora naki ;)"
"465","ami jantam j 2mar ebar name hbe 'vikram' coz e te sokoler serial e j nm seta te dak6lo r tmk vikram nm e dak6lo.."
"466","idk if you're a fan of hritik but mohenjodaror fever amar o choreche"
"467","amr also july e"
"468","didi amader bachan"
"469","...amra abar fire pete chai yash nd madhu di k aksthe onscreen..... plzzzz come back this juti...."
"470","dholakiya &lt;3 koto boro hoye gacho tumi :p remember one time on my you called me up around 12pm and just..."
"471","tumi kobe te asbe abar? 10 bar question ta korlm plz rply chai ebar"
"472","e tomar character tar name ki?"
"473","anek anek id mubarak and agami din gulo aro valu katuk tomar."
"474","eta sotti tomar account meghla di? bolo na plz tahole follow krbo..tmr name e fake accounts hoye a6e anek ty ask kor6i?"
"475","ki lagcheeee tomake"
"476","darun lege6e tomader... cheers..."
"477","watching ..osadharon lag6e..just fatiye dea6o tomra thanks"
"478","junior, valobasbe tumio 9.30 tay asbe tomr"
"479","junior, valobasbe tumio 9.30 tay asbe tomra ebar theke..yahoo"
"480","really tomra dujon different girl?"
"481","salaa, tui sottie sottie kidnaper, sobai k kidnap korbi."
"482","vai eta ki, tdr clg er bpr tdr frnd rai janbe joydip majij sosthab laik sohini basu"
"483","bhai ami ekhn emne e thakle thako noile mara khaw -_-"
"484","ami r sob valo :)"
"485","ramna park e ami rahiq &amp; nusrattania rahim"
"486","ha ha.. buddhiman...ami..???"
"487","lol bhai kichu bollam na u knw bttr thn me. n yeah ami o atleast sk jata movie kore na. so called king khan er moto"
"488","ami sesh :( allah :) feeling sick at khilgoan c bolk"
"489","i posted 6 photos on facebook in the album ""fashion photography ::: model sharifat ,pritee, upoma, ami"""
"490","ami fun na . serious"
"491","r sara ta jibon jeno amn vabei happy thakte pari god...... :-) :-) :-) feeling very happy"
"492","ki koy na koy!!! ami to shunsi eita onno aarek bishoyer technique. eikhane ghum koitte aailo???"
"493","ami je ke tomar anurager chhowa: via"
"494","i added a video to a playlist tumi kothay acho...ami kothay achi by minar"
"495","..."
"496","ami bhabsilam lutfor hasan arjeeta manoj bangla new song 2016 youtube: via"
"497","i liked a video ami aakash hobo - fahmida nabi : wind of change [ pre-season ] at gaan bangla tv"
"498","eibar buccho nafisa ami keno ekhane??? btw, hi there nigar hasan!"
"499","bangla new songs || keo na januk ami to jani || by tahsan 1080p"
"500","hoito duniar chokhe ami onek kichu kintu tomar kache ami kichui na.........:... amar golpo ta vinno chilo ...."
"501","i liked a video ami adibashi - madal | -"
"502","sobai eid er ager din dey r ami 2 din por dei"
"503","amar matha theek e ase.tor dorker paani dhalar"
"504","title: ekla amar dol asif akbar lyric: rajiv ahmed tune: pallab sanyal music: ujjal sinha album:..."
"505","bangla new song 2016 | ekla amar dol by asif akbar | studio version: via"
"506","poran pakhi amar phire ay. imran and kona hd new hindi song 2016 july: via"
"507","tui amar hero..tui amr hero"
"508","amar chhotobela - kabir chowdhury in pdf via"
"509","the national anthem of bangladesh - amar sonar bangla via"
"510","amar koliga....."
"511","love is friendship that has caught fire. it is quiet understanding, mutual confidence, sharing and forgiving. it..."
"512","he namaji amar ghore namaj poro aaj (islami nazrul sangeet) by leena taposhi khan"
"513","amar chobi amar gaan (nusrat faria): via"
"514","amar chobi amar gaan (mim): via"
"515","amar chobi amar gaan (mahi): via"
"516","amar moner angone sukher phugun alo bujhi monaz: via"
"517","amar vabir voda"
"518","accha amar exam er por"
"519","amar chul r nai. kete fello feeling emotional at tejgaon gulshan link road"
"520","speaker amar home"
"521","tui amar hero...dev..."
"522","same..amr maje sudhu facebook add"
"523","meye ta amr 1 ta matro gullati ...."
"524","isssh shali jaa lagche toke ;) mne hocche akhne sofay theele diye hate handcuff lagiye amr khara lewrar upore chore lafabi ;)"
"525","amr moto adhocha pola hoy na :d"
"526","this is my brother ....pls help us ............. amr vai k bachanor jnno onek taka proyojon so ,,jara amader ke..."
"527","amr shei chul and dari...."
"528","sala eid er sokale gum ta nosto krse ai salar amr"
"529","amr vaggni agei bole dilam"
"530","amr vasta is real jakaria lemon"
"531","tmi ki amr frnd hbe plzzz"
"532","mohu aita amr ajker pic re...."
"533","how are you everybody? i am fine. eid kamon katlo tumader? amr khub valo katlo."
"534","chal wahan jaate hain full video song arijit singh tiger shroff, kriti sanon hd video zone"
"535","i can make that coffee at home and of course they don't give the coffee shop environment amr fav gula sob gulshan e"
"536","amr moto buira re dekhte bole 9 bosorer picchi lage..."
"537","amr life ta pura ekta drama... and i love it"
"538","ses amr chul :')"
"539","amr sate jogajog koro.."
"540","!"
"541","tom: eid amake chara ki hoye??!! hahaha, asholei to! tai and"
"542","idk what just happened with my brother! :/ he is too much obsessed with aiub bacchu's ''meye, tumi chinbe kamon kore ei amake..'' :o"
"543","amake ekto sex er moja dao"
"544","di tumi amake vole gecho.."
"545","plz amake keu deo :'("
"546","tomar massages ta koto bar porci ..tumi vabteo parbe na... koto easy vabe bolla amake,ami jeno r kono din call na dei.."
"547","eid er plan final :) hassan prince aaysha humayaraa khela hobe cz amake kew thamate parbi nah :p"
"548","i added a video to a playlist ononto prem tumi dao amake"
"549","love you &lt;3 tata ! :) pic tule pathais amake eid pic ! amio dibone"
"550","tar mane tmi amake chapa maro insta te :/"
"551","kisu ajaira public ase jader khaia daia kono kaj nai, sharadin facebbok a joto akam koira berae amake chene na..."
"552","ami. akjun ke miss je amake (-------?-----) kore dice i really love you ...... sotti ami tumake love kori ???? feeling sad"
"553","tahole amake korsen keno"
"554","amake bhalobasar por by humayun azad, recited by shimul mustapha"
"555","kemon lagce amake"
"556","good..tahole to jetei hoy..tobe vuleo amake invite korben na..karon ami emnitei akjon traveler"
"557","joto ta nijeke atke rakhi.. thamate parina vetorer amake ebhabei thakte hobe karon shei hahakar thamanor khomota je amar nei.."
"558","bujini vul kore konodin amake pari ni bukta cire dekhate by atik hasan: via"
"559","amake niye choooooooool... :'("
"560","amake tk den apnake murder kori"
"561","amak"
"562","amar phn haraiya gasa gp ta kaw amak call kora paba na............................... :( ;( feeling sad"
